epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,566.732,0.38212,0.63878,0.95167,0.9159,0.89781,0.93351,0.87308,0.43579,0.54873,1.11512,0.000349331,0.000349331,0.000349331
43,579.612,0.37799,0.62077,0.9433,0.89594,0.89244,0.9396,0.88083,0.37818,0.53601,0.99342,0.00034351,0.00034351,0.00034351
44,592.437,0.37115,0.61964,0.94889,0.89316,0.89922,0.94857,0.8828,0.41276,0.51903,1.02275,0.000337688,0.000337688,0.000337688
45,605.486,0.3842,0.60355,0.95959,0.90233,0.89406,0.94043,0.87849,0.42532,0.58635,1.07591,0.000331867,0.000331867,0.000331867
46,618.264,0.37049,0.58189,0.95068,0.86915,0.91964,0.94545,0.88949,0.36065,0.534,0.98484,0.000326046,0.000326046,0.000326046
47,631.058,0.36487,0.58656,0.94081,0.90946,0.9081,0.95391,0.88668,0.37787,0.51751,0.9943,0.000320225,0.000320225,0.000320225
48,643.767,0.36034,0.56616,0.93545,0.91407,0.89433,0.94787,0.89816,0.34958,0.51552,0.96681,0.000314404,0.000314404,0.000314404
49,656.387,0.36401,0.57024,0.93821,0.89853,0.93828,0.94347,0.8775,0.36377,0.48376,0.9887,0.000308582,0.000308582,0.000308582
50,669.095,0.36771,0.55869,0.94253,0.90174,0.91401,0.94317,0.88499,0.37504,0.51024,1.0186,0.000302761,0.000302761,0.000302761
51,681.785,0.35617,0.55375,0.93677,0.92295,0.9038,0.94335,0.88921,0.39638,0.50806,1.07975,0.00029694,0.00029694,0.00029694
52,694.668,0.35196,0.54279,0.94304,0.92867,0.89733,0.93755,0.88146,0.37233,0.54829,0.98705,0.000291119,0.000291119,0.000291119
53,707.556,0.35296,0.53799,0.93577,0.92275,0.90269,0.94569,0.88294,0.37572,0.52279,0.99439,0.000285298,0.000285298,0.000285298
54,720.227,0.36216,0.5575,0.94352,0.94054,0.8756,0.9397,0.88507,0.37513,0.50521,0.99678,0.000279476,0.000279476,0.000279476
55,732.969,0.36474,0.55313,0.93773,0.91061,0.91986,0.949,0.89688,0.39102,0.45817,1.04873,0.000273655,0.000273655,0.000273655
56,745.711,0.35387,0.52496,0.93789,0.93055,0.86242,0.9401,0.89133,0.39709,0.52648,1.05868,0.000267834,0.000267834,0.000267834
57,758.549,0.35748,0.53198,0.93103,0.93087,0.91135,0.94971,0.88896,0.39395,0.47284,1.08697,0.000262013,0.000262013,0.000262013
58,771.186,0.3537,0.52011,0.93598,0.8691,0.92599,0.94133,0.89261,0.33611,0.53233,0.96085,0.000256192,0.000256192,0.000256192
59,783.736,0.35285,0.49517,0.92978,0.93618,0.91298,0.94862,0.89482,0.38839,0.47994,1.00632,0.00025037,0.00025037,0.00025037
60,796.366,0.3515,0.50898,0.93246,0.93275,0.91121,0.95004,0.89387,0.34669,0.47869,0.96649,0.000244549,0.000244549,0.000244549
61,809.178,0.34369,0.48963,0.93231,0.92704,0.89152,0.93572,0.88168,0.34481,0.49643,0.96883,0.000238728,0.000238728,0.000238728
62,821.818,0.33358,0.49422,0.926,0.93293,0.89642,0.94955,0.89248,0.40436,0.51348,1.06385,0.000232907,0.000232907,0.000232907
63,834.561,0.34498,0.50303,0.9261,0.90334,0.91543,0.95329,0.89824,0.38307,0.50119,1.02381,0.000227086,0.000227086,0.000227086
64,847.237,0.33766,0.48738,0.92735,0.93418,0.90004,0.94902,0.89284,0.34382,0.47431,0.96907,0.000221264,0.000221264,0.000221264
65,859.962,0.33341,0.48237,0.92703,0.93783,0.92457,0.94549,0.88581,0.38705,0.48943,1.06202,0.000215443,0.000215443,0.000215443
66,872.696,0.32493,0.48437,0.9232,0.91017,0.93962,0.94914,0.89517,0.3614,0.44833,0.98941,0.000209622,0.000209622,0.000209622
67,885.481,0.3283,0.46244,0.91976,0.92932,0.89638,0.94463,0.89506,0.33536,0.52236,0.95543,0.000203801,0.000203801,0.000203801
68,898.044,0.33396,0.46549,0.92372,0.92301,0.9075,0.94575,0.89077,0.33611,0.55018,0.96229,0.00019798,0.00019798,0.00019798
69,910.716,0.32874,0.45739,0.92505,0.90317,0.90725,0.93265,0.88309,0.34567,0.51173,0.97142,0.000192158,0.000192158,0.000192158
70,923.677,0.33517,0.46811,0.92185,0.92195,0.91144,0.94164,0.89514,0.32883,0.54695,0.95746,0.000186337,0.000186337,0.000186337
71,936.597,0.33113,0.44451,0.92917,0.92439,0.92547,0.95083,0.90407,0.32216,0.4507,0.95321,0.000180516,0.000180516,0.000180516
72,949.543,0.32609,0.44852,0.92137,0.92059,0.92262,0.94334,0.89081,0.34126,0.4219,0.96715,0.000174695,0.000174695,0.000174695
73,962.926,0.32352,0.43733,0.91516,0.92089,0.90949,0.93708,0.88752,0.31812,0.46756,0.9487,0.000168874,0.000168874,0.000168874
